,pin,place,state,latitude,longitude,accuracy
1,110002,Darya Ganj,New Delhi,28.6333,77.25,4.0
2,110003,Aliganj,New Delhi,28.65,77.2167,0.0
3,110004,Rashtrapati Bhawan,New Delhi,28.65,77.2167,0.0
4,110005,Lower Camp Anand Parbat,New Delhi,28.65,77.2,0.0
5,110006,Bara Tooti,New Delhi,28.65,77.2167,0.0
6,110007,Birla Lines,New Delhi,28.6833,77.2,0.0
7,110008,Patel Nagar,New Delhi,28.65,77.2167,0.0
8,110010,Delhi Cantt,New Delhi,28.55,77.2667,0.0
9,110011,Nirman Bhawan,New Delhi,28.55,77.2667,0.0
10,110012,Inderpuri,New Delhi,28.55,77.2667,0.0
11,110013,Hazrat Nizamuddin,New Delhi,28.55,77.2667,0.0
12,110014,Jangpura,New Delhi,28.55,77.2667,0.0
13,110015,Zakhira,New Delhi,28.55,77.2667,0.0
14,110016,Hauz Khas,New Delhi,28.55,77.2667,0.0
15,110017,Malviya Nagar,New Delhi,28.55,77.2667,0.0
16,110018,Vishnu Garden,New Delhi,28.55,77.2667,0.0
17,110019,Nehru Place,New Delhi,28.55,77.2667,0.0
18,110020,Flatted Factories Complex,New Delhi,28.6488,77.1726,0.0
19,110021,Malcha Marg,New Delhi,28.6488,77.1726,0.0
20,110022,Postal Saving Bureau,New Delhi,28.6488,77.1726,0.0
21,110023,Kidwai Nagar,New Delhi,28.6488,77.1726,0.0
22,110024,Lajpat Nagar,New Delhi,28.6488,77.1726,0.0
23,110025,Jamia Nagar,New Delhi,28.6488,77.1726,0.0
24,110026,Punjabi Bagh,New Delhi,28.6488,77.1726,0.0
25,110027,J 6block Rajouri Garden,New Delhi,28.6488,77.1726,0.0
26,110028,Naraina Industrial Estate,New Delhi,28.6488,77.1726,0.0
27,110029,Himayunpur Extn,New Delhi,28.6488,77.1726,0.0
28,110030,T B Hospital,New Delhi,28.7556,77.1667,0.0
29,110031,Gandhi Nagar,New Delhi,28.7556,77.1667,0.0
30,110032,Shahdara,New Delhi,28.6667,77.3167,4.0
31,110033,Adarsh Nagar,New Delhi,28.7556,77.1667,0.0
32,110034,Pitampura,New Delhi,28.7556,77.1667,0.0
33,110035,Inderlok,New Delhi,28.7556,77.1667,0.0
34,110036,Alipur,New Delhi,28.8,77.15,4.0
35,110037,Gurgaon Road,New Delhi,28.7556,77.1667,0.0
36,110038,A F Rajokari,New Delhi,28.7556,77.1667,0.0
37,110039,Bawana,New Delhi,28.8,77.0333,4.0
38,110040,Sanoth,New Delhi,28.85,77.1,0.0
39,110041,Nagloi,New Delhi,28.6092,77.1569,0.0
40,110042,Badli,New Delhi,28.6092,77.1569,0.0
41,110043,Najafgarh,New Delhi,28.6125,76.9847,4.0
42,110044,Badarpur T P Station,New Delhi,28.5083,77.3,0.0
43,110045,Palam Enclave,New Delhi,28.5667,77.1,0.0
44,110046,Nangal Rava,New Delhi,28.6092,77.1569,0.0
45,110047,Arjan Garh,New Delhi,28.6092,77.1569,0.0
46,110048,Kailash,New Delhi,28.6092,77.1569,0.0
47,110049,Andrews Ganj,New Delhi,28.6092,77.1569,0.0
48,110051,Azad Nagar,New Delhi,28.6167,77.2167,0.0
49,110052,Wazirpur Phase Iii,New Delhi,28.6167,77.2167,0.0
50,110053,Zafrabad,New Delhi,28.6167,77.2167,0.0
51,110054,Civil Lines,New Delhi,28.6167,77.2167,0.0
52,110055,Paharganj,New Delhi,28.6167,77.2167,4.0
53,110056,Shakurbasti,New Delhi,28.6167,77.2167,0.0
54,110057,Munirka,New Delhi,28.6167,77.2167,0.0
55,110058,Janakpuri,New Delhi,28.6167,77.2167,0.0
56,110059,Uttam Nagar,New Delhi,28.6167,77.2167,0.0
57,110060,New Rajinder Nagar,New Delhi,28.6488,77.1726,0.0
58,110061,Bijwasan,New Delhi,28.6488,77.1726,0.0
59,110062,Hamdard Nagar,New Delhi,28.6488,77.1726,0.0
60,110063,Paschim Vihar,New Delhi,28.6488,77.1726,0.0
61,110064,Hari Nagar Be Block,New Delhi,28.6488,77.1726,0.0
62,110065,East Of Kailash,New Delhi,28.6488,77.1726,0.0
63,110066,R K Puram,New Delhi,28.6488,77.1726,0.0
64,110067,D D A Munirka,New Delhi,28.6488,77.1726,0.0
65,110070,Vasant Kunj,New Delhi,28.6528,76.9539,0.0
66,110071,Chhawla,New Delhi,28.6528,76.9539,0.0
67,110072,Jharoda Kalan,New Delhi,28.6528,76.9539,4.0
68,110073,Ujwa,New Delhi,28.6528,76.9539,0.0
69,110081,Kanjhawala,New Delhi,28.6488,77.1726,0.0
70,110082,Khera Kalan,New Delhi,28.6488,77.1726,0.0
71,110083,Mangolpuri Block A,New Delhi,28.6488,77.1726,0.0
72,110084,Kutubgarh,New Delhi,28.6488,77.1726,0.0
73,110088,Shalimar Bagh,New Delhi,28.7165,77.1629,6.0
74,110091,Himmatpuri,New Delhi,28.6488,77.1726,0.0
75,110092,Shakarpur,New Delhi,28.6488,77.1726,0.0
76,110093,Nand Nagri A Block,New Delhi,28.6488,77.1726,0.0
77,110094,Gokulpuri,New Delhi,28.6488,77.1726,0.0
78,110096,Bhajan Pura,New Delhi,28.6488,77.1726,0.0
79,121001,Faridabad,Uttar Pradesh,28.9915,76.2541,0.0
80,121002,Faridabad,Uttar Pradesh,28.9915,76.2541,0.0
81,121005,Faridabad Sector 22,Uttar Pradesh,28.9915,76.2541,0.0
82,121006,Industrial Estate,Uttar Pradesh,28.9915,76.2541,0.0
83,121007,Faridabad,Uttar Pradesh,28.9915,76.2541,0.0
84,121101,Tigaon,Uttar Pradesh,28.9915,76.2541,0.0
85,121102,Palwal,Uttar Pradesh,28.9915,76.2541,0.0
86,122001,Gurgaon Kutchery,Haryana,28.09,76.9567,0.0
87,122005,Air Force Gurgaon,Haryana,28.09,76.9567,0.0
88,122015,Gurgaon Palampur Road,Haryana,28.09,76.9567,0.0
89,122016,Dundahera,Haryana,28.09,76.9567,0.0
90,122050,Manesar,Haryana,28.09,76.9567,0.0
91,122101,Badshahpur,Haryana,28.4,77.05,4.0
92,122103,Sohna(Gurgaon),Haryana,28.09,76.9567,0.0
93,122104,Ferozepur Jhirka,Haryana,27.8,76.95,4.0
94,122105,Taura,Haryana,28.09,76.9567,0.0
95,122106,Dharuhera,Haryana,28.2167,76.7833,4.0
96,122107,Nuh,Haryana,28.1167,77.0167,4.0
97,122108,Nagina,Haryana,27.9167,76.9833,4.0
98,122109,Daulatabad (Gurgaon),Haryana,28.09,76.9567,0.0
99,122211,Palmar,Haryana,28.09,76.9567,0.0
100,123001,Narnaul Kutchery,Haryana,28.5,76.2111,0.0
101,123020,Sanwar,Haryana,28.5,76.2111,0.0
102,123021,Mandi Ateli,Haryana,28.5,76.2111,0.0
103,123023,Nangal Chaudhary,Haryana,28.5,76.2111,0.0
104,123024,Satnali,Haryana,28.3833,75.9667,4.0
105,123025,Baund,Haryana,28.7833,76.35,4.0
106,123027,Kanina,Haryana,28.3333,76.3167,4.0
107,123028,Nangal Sirohi,Haryana,28.5,76.2111,0.0
108,123029,Mohindergarh,Haryana,28.5,76.2111,0.0
109,123034,Bawania,Haryana,28.5,76.2111,0.0
110,123035,Pahlawas,Haryana,28.5,76.2111,0.0
111,123201,Loharu,Haryana,28.45,75.8167,4.0
112,123301,Guriani,Haryana,28.35,76.5167,4.0
113,123306,Charkhi Dadri Factory,Haryana,28.6,76.2667,0.0
114,123307,Achina,Haryana,28.6833,76.3667,4.0
115,123308,Badhra,Haryana,28.5444,76.3833,0.0
116,123310,Jhoju Kalan,Haryana,28.5444,76.3833,0.0
117,123401,Model Town Rewari,Haryana,28.1833,76.6167,0.0
118,123411,Dahina,Uttar Pradesh,28.1833,76.6167,0.0
119,123412,Dharan,Haryana,28.1833,76.6167,0.0
120,123413,Akheri Madanpur,Haryana,28.1833,76.6167,0.0
121,123414,Nanu Kalan,Haryana,28.1833,76.6167,0.0
122,123501,Bawal,Haryana,28.0833,76.5833,4.0
123,123502,Khalilpur,Haryana,28.2833,76.7667,0.0
124,123503,Pataudi,Haryana,28.3167,76.7833,4.0
125,123504,Haily Mandi,Haryana,28.2833,76.7667,0.0
126,123505,Garhi Harsaru,Haryana,28.45,76.9333,4.0
127,123506,Farrukh Nagar,Haryana,28.2833,76.7667,0.0
128,123508,Jatauli,Haryana,28.2833,76.7667,0.0
129,124001,Rohtak,Haryana,28.9,76.5667,4.0
130,124003,Vaish High Schl Rohtak,Haryana,28.9,76.5667,0.0
131,124004,G K Singhpur,Haryana,28.9,76.5667,0.0
132,124005,Titauli,Haryana,28.9,76.5667,0.0
133,124006,Makrauli Kalan,Haryana,28.9,76.5667,0.0
134,124007,Samargopalpur,Haryana,28.9,76.5667,0.0
135,124021,Asthal Bohar,Haryana,28.8667,76.45,0.0
136,124022,Morkhra,Haryana,28.8667,76.45,0.0
137,124024,Lahli,Haryana,28.8667,76.45,4.0
138,124025,Kharawal,Haryana,28.8667,76.45,0.0
139,124028,Basana,Haryana,28.8667,76.45,0.0
140,124029,Baland,Haryana,28.8667,76.45,0.0
141,124030,Gharauthi,Haryana,28.8833,76.5083,0.0
142,124031,Maina,Haryana,28.8833,76.5083,0.0
143,124101,Barhana,Haryana,28.62,76.67,0.0
144,124102,Dujana,Haryana,28.6833,76.6167,4.0
145,124103,Jhajar H O,Haryana,28.62,76.67,0.0
146,124104,Jhajjar,Haryana,28.6167,76.65,4.0
147,124105,Badli,Haryana,28.5833,76.8167,4.0
148,124107,Dighal,Haryana,28.75,76.6167,4.0
149,124108,Machhrauli,Haryana,28.4667,76.65,4.0
150,124109,Dhakala,Haryana,28.62,76.67,0.0
151,124110,Bahu Akbarpur,Haryana,28.8917,76.4167,0.0
152,124111,Madina,Haryana,28.95,76.4333,4.0
153,124112,Meham,Haryana,28.8917,76.4167,0.0
154,124113,Kalanaur,Haryana,28.8333,76.4,4.0
155,124114,Kharak Kalan,Haryana,28.8917,76.4167,0.0
156,124118,Gochhi,Haryana,28.8917,76.4167,0.0
157,124120,Bahlba,Haryana,28.7274,76.6286,0.0
158,124121,Kharkhera,Haryana,28.7274,76.6286,0.0
159,124124,Katesra,Haryana,28.7274,76.6286,0.0
160,124125,Jhalri,Haryana,28.7274,76.6286,0.0
161,124126,Kalinga,Haryana,28.7274,76.6286,0.0
162,124127,Sisar Khas,Haryana,28.7274,76.6286,0.0
163,124129,Saman,Haryana,28.7274,76.6286,0.0
164,124130,Talao,Haryana,28.7274,76.6286,0.0
165,124131,Jhazgarh,Haryana,28.7274,76.6286,0.0
